"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"What?!　I can't do it for a minute!",,,えぇ！？　ちょっと無理です！,,
"Shield Sage became Job Level 76",,,シールドセージのジョブレベルが76になった,,
"Alchemic Evade: Crusher",,,"錬避 砕",,
"What?　
Around here - there must be something!",,,"うん？
この辺り――きっとなにかありますよ！？",,
"My lord, I await for missions and instructions.",,,我が主、任務と指示を待つ,,
"Helm Splitter",,,断頭台,,
"Shield Sage became Job Level 77",,,シールドセージのジョブレベルが77になった,,
"Alchemic Evade: Slayer",,,"錬避 倒",,
"What?　All of our strategies have been in vain.",,,なっ！？　これでは全ての戦略が無駄に――,,
"Decreases the weight of equipped items.
<COL ffdc78>LV UP: Further decreases item weight.</COL>",,,"装備品の重量が軽減される
<COL ffdc78>LV UP毎に重量さらに軽減</COL>",,
"My pleasure!",,,よろこんで！,,
"What?　Oh, no, I can't--",,,えっ！？　そんな、無理――,,
"Alchemic Strike: Slayer",,,"錬打 倒",,
"My power is never ending!",,,我が力、尽きること無し！,,
"Helm of Certainty",,,ヘルムオブサーテンティ,,
"Shield Sage became Job Level 78",,,シールドセージのジョブレベルが78になった,,
"Decreases threat generation while grabbing onto
enemies.
<COL ffdc78>LV UP: Further decreases threat generation.</COL>",,,"しがみつき時に敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>",,
"Decreases your threat generation even
when attacking enemies.
<COL ffdc78>LV UP: Further decreases threat generation.</COL>",,,"攻撃をヒットさせても敵から注目されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度さらに軽減</COL>",,
"Helm of Concealment",,,秘匿のヘルム,,
"When ""Area Rank"" rises, sometimes a
<COL ffdc78>""Monster Warning Message""</COL>might appear.

<COL ffdc78>These powerful monsters have unique names.
And by killing them you can get rare items
or high grade equipment.</COL>",,,"エリアランクが上がると、時として新たな
強敵が<COL ffdc78>《魔物警戒スポット》</COL>に登場します

<COL ffdc78>そういった強敵には固有の名前がついており
討伐すると高グレードの装備や珍しいアイテムを
手に入れることができます</COL>",,
"Alchemic Wood",,,アルケムウッド,,
"My power is overflowing!",,,力が湧いてきました！,,
"Shield Sage became Job Level 79",,,シールドセージのジョブレベルが79になった,,
"When ""Area Rank"" rises, sometimes a
<COL ffdc78>""Monster Warning Message""</COL>might appear.
<COL ffdc78>These powerful monsters have unique names.
And by killing them you can get rare items
or high grade equipment.</COL>",,,"エリアランクが上がると、時として新たな
強敵が<COL ffdc78>《魔物警戒スポット》</COL>に登場します
<COL ffdc78>そういった強敵には固有の名前がついており
討伐すると高グレードの装備や珍しいアイテムを
手に入れることができます</COL>",,
Dedication,,,専心,,
"My power will surely be of use to you.",,,俺の力、きっとお役に立ちますぜ,,
"Helm of Gloom",,,陰影のヘルム,,
"Shield Sage became Job Level 80",,,シールドセージのジョブレベルが80になった,,
"Alchemical Ante",,,アルケム・アンテ,,
"Alchemical Burst",,,アルケム・バースト,,
"When I thought about taking some action because Mayleaf's absence was too long, Klaus and Leo also took action. It seems that as a result, Mayleaf returned safely, but a troubling problem emerged. It was Iris who took Mayleaf out of here. She clearly acted as an agent of the enemy. Despite Leo and the others knowing, they kept it a secret from me.
Well, when it comes to Iris's betrayal and how to handle it, there is no choice but to leave it to Leo. Trying to hide her involvement was not out of malice.

Aft",,,"　長すぎるメイリーフの不在に何か行動を起こすべき
だと考えた頃、クラウスとレオもまた行動を起こした
ようだ
　その結果、メイリーフは無事に戻ったが、ゆゆしき
問題が発覚した。メイリーフをここから連れ出したの
がイリスであったこと。彼女は明らかに敵の手先とし
て行動したこと。レオたちは知っていたにもかかわら
ずわたしに黙っていたこと
　さて、イリスの裏切り行為とその始末に関してはレ
オに任せるしかあるまい。彼女の関与を隠そうとした
ことも、悪気があってのことではなかろう
　訓戒の後、不問とすることが分別ある者としての正
しい態度に違いない。となれば事はわたしの問題だ",,
"Helm of Keen Insight",,,慧眼のヘルム,,
"My wise Lord,
I would like to learn from you in tactical training.",,,"聡明なる我が主殿、
戦術育成にて教えを請いたいですね",,
"Shield Sage became Job Level 81",,,シールドセージのジョブレベルが81になった,,
"Deenan Hyssop",,,ディナンヒソップ,,
"Deenan Medal",,,ディナン印記章,,
"Alchemical Demitto",,,アルケム・デミト,,
"Mycelium Behemoth",,,マイセリウム・ベヘモット,,
"Helm of the First King",,,初代王の兜,,
"When Pamela noticed that Mayleaf was nowhere to be seen, she started to panic and immediately requested a search from the Knight Order. Additionally, she reached out to the Arisen that Leo was watching over. She remembered that Mayleaf had been joyful upon receiving a craft in the past.

When it came to Mayleaf, Pamela couldn't remain calm. Despite being aware of the conflicts between the Knight Order and the Arisen, she couldn't help but seek help. Mayleaf was the descendant of elves, and as far as she kne",,,"　メイリーフの姿が見えないとパメラが騒ぎ、わたし
はすぐに騎士団に捜索を依頼した
　加えて、レオが目をかけている覚者にも声をかけ
た。以前にメイリーフがクラフトをもらったと喜んで
いたことを思い出したからだ
　メイリーフのことになると冷静ではいられず、騎士
団と覚者の確執を知りながらも助けを求めずにはいら
れなかった
　あの子はエルフの末裔であり、わたしの知る限り、
このレスタニアに残ったエルフはふたりだけなのだ。
メイリーフ自身と、時折密かに彼女を訊ねてくる青年
が、おそらくエルフだ
　希少であることは人の欲を掻き立てる。エルフたち
が悪意に触れないようにその正体は隠しておかねばな
らない。関係者には口止めしておくことにしよう",,
"Shield Sage became Job Level 82",,,シールドセージのジョブレベルが82になった,,
"When a boost is activated
Physical and Magick Defense are increased for a period of time.
<COL ffdc78>LV UP: Increases effect duration.</COL>",,,"ブーストを発動すると
物理防御力と魔法防御力を一定時間上昇させる
<COL ffdc78>LV毎に効果時間がより上昇</COL>",,
"Help information",,,ヘルプ情報,,
"Alchemical Explorer",,,錬成の探究士,,
Myra,,,マイラ,,
"Deenan Mountain Road",,,ディナン山道,,
"Shield Sage became Job Level 83",,,シールドセージのジョブレベルが83になった,,
"Alchemical Extract",,,アルケム・エクストラクト,,
"Shield Sage became Job Level 84",,,シールドセージのジョブレベルが84になった,,
"Help me out!",,,助けて！,,
Myrmidon,,,戦徒,,
"Alchemical Fuga",,,アルケム・フーガ,,
"Shield Sage became Job Level 85",,,シールドセージのジョブレベルが85になった,,
"Deenan Piercer",,,ディナン・ピアサー,,
"Myrmidon Ring Plate",,,戦徒のリングプレート,,
"When a boost is activated, Stamina will recover.
<COL ffdc78>LV UP: Increases amount of stamina recovered.</COL>",,,"ブーストを発動すると、スタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>",,
"Help me!",,,助けてくれ！,,
"Deenan Woods",,,ディナン深層林,,
"Help me!!",,,助けて！！,,
"Shield Sage became Job Level 86",,,シールドセージのジョブレベルが86になった,,
"Alchemical Invasion",,,侵錬,,
"Myrmidon Seminar Opening",,,戦徒ゼミナール開校,,
"When climbing, attack an enemy continously
with your sword. The number of attacks increases with
additional input.",,,"しがみついた状態から
剣による連続攻撃を繰り出す
ボタン連打で攻撃回数が増加する",,
"When detonating a maximized Elixir, Physical and Magickal Defense
power is increased for a period of time.
<COL ffdc78>LV UP: Increases duration of effect.</COL>",,,"錬成値が最大の状態でエリクシルを発動すると、
一定時間、物理防御力と魔法防御力が上昇する
<COL ffdc78>LV UP毎に効果時間がより上昇</COL>",,
"Shield Sage became Job Level 87",,,シールドセージのジョブレベルが87になった,,
"Help me, quickly!",,,早く、助けを！,,
"Alchemical Invasion LV.3",,,"侵錬 LV.3",,
"Myrmidon of Stagnation",,,淀みの戦徒,,
"Shield Sage became Job Level 88",,,シールドセージのジョブレベルが88になった,,
"Alchemical Invasion LV.4",,,"侵錬 LV.4",,
"Deenan Woods Trial: A Roar of Absolute Zero",,," ディナン深層林　試練：絶対零度の咆哮",,
"Myrmidon's Pledge",,,戦徒の契り,,
"When enemy strikes, attacking the part used by the attack
will increase the ""Spirit Dragon Counterattack Gauge"".
When the gauge is full, damage to destructible parts
is greatly increased.
<COL ffdc78>LV UP Further increases bonus damage.</COL>",,,"敵が攻撃を放ったタイミングで、攻撃してきた部位や周囲の
弱点部位を攻撃すると《精霊竜の反撃アイコン》が増加する
アイコンが満了になると破壊可能部位へのダメージが大幅に増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>",,
"Help now!",,,今助ける！,,
"Shield Sage became Job Level 89",,,シールドセージのジョブレベルが89になった,,
"Deenan Woods Trial: Heretic Green",,," ディナン深層林　試練：ヘレティックグリーン",,
"When exploring the wilderness or dungeons,
you may obtain items.
These items can be dropped by defeated enemies,
or collected by investigating the terrain.",,,"野外やダンジョンを探索すると
アイテムを入手することがあります
倒した敵が落とすドロップアイテムや、
地形を調べて得られる採取アイテムです",,
"Myrmidons, commonly known as followers, serve primarily as attendants - that is the purpose and value of their existence.",,,"主に呼ばれ従者としての務めを果たす――
それが戦徒の存在意義であり、価値",,
"Alchemical Invasion LV.5",,,"侵錬 LV.5",,
"Help! It's bad!",,,まずい、救援を！,,
"Alchemical Invasion LV.6",,,"侵錬 LV.6",,
"Deenan Woods Trial: The Stone Fowl in the Ruins",,," ディナン深層林　試練：遺跡に舞う石鶏",,
"When giving gifts to men, their favorability will increase even more.",,,"男性へのプレゼント譲渡時に
好感度がより上昇する",,
Mysial,,,ミシアル,,
"Help, someone!!",,,だ、誰か助けて！！,,
"Shield Sage became Job Level 90",,,シールドセージのジョブレベルが90になった,,
"Deenan Woods Trial: The White Scourge",,," ディナン深層林　試練：白い災厄",,
