最早、話すことなどない,There is nothing to say anymore.,
"エコール姉ちゃんとよく森に行くんだ！
姉ちゃん、ウサギより足早いんだぜ！","I often go to the woods with my sister Ekor!
My sister is faster than a rabbit!",
"へっへー
前にこっそり《燐光虫の洞窟》まで
いったんだぜ！　怒られちゃったけどな","Hehehe
I sneaked up to the Cave of the Phosphorescent Worms
once before!　I was pissed, though.",
"オレも早く一人前の狩人になるんだ
リンウッドの男だからな！","I'll be a full-fledged hunter soon.
I'm a Lynnwood man!",
えっ、オレになんか用？,"Huh, do you need something from me?",
白竜さまのご加護があらんことを,May the blessing of the White Dragon be upon you,
リムの輝きは常に貴方と共に,The radiance of Rift Crystal is always with you.,
"メンバーの再編をお考えでしたら
なんなりと","If you are thinking of reorganizing your party members, please do not hesitate to ask.",
旅の同伴者をお求めですか？　覚者様,"Are you looking for a travel companion, Lord Arisen?",
"ミスリウ一帯の案件なら
私が預かっているわ","If you're looking for a case in the Misriu area,
I can take care of it.",
"リンウッドは深部の森やその周辺とも
昔から交流があるの","Lynwood has a long history of contact
with the deep forest and its surroundings.",
"ポーン郷のカミュ様やエメラダには
よくお世話になってるしね","Camus and Emerada of the Pawn Cathedral
have taken good care of me.",
"洞窟や奥地に行く時は気を付けてね
トロールやエントと出くわしたら大変よ","Be careful when you travel to the caves and backcountry.
If you run into a troll or an ent, there will be trouble.",
"森が危なくなって、木材の調達も
難しくなってきたわ","The forests have become more dangerous, 
and it's getting more difficult to gather wood.",
"もう知ってるかもしれないけど
《辺境の礎》っていうのが各地に
設置されることになったでしょう","You may already know
that something called ""Cornerstone of the Frontier"" is going to be installed in various places
",
"今回、ミスリウの《辺境の礎》全てが
使えるようになったのよ
このことをぜひ貴方にも知らせておこうと思って！","This time, all of Misriu's ""frontier foundations"" are now available
I thought I'd let you know about this!",
"森の中は入り組んでいるから
迷いやすかったり移動に時間がかかりがちだけど
これで少しは楽になると思うわ","The woods are so convoluted that
it's easy to get lost or take a long time to get around.
I think this will make things a little easier.",
"ちょうどいいところに来てくれたわ！
貴方に相談したいことがあったの","You've come just in time!
There's something I needed to speak with you about.",
"リンウッドからミスリウ森林深部に行く
一本道があるでしょう
その途中に、“子攫いのメリーティア”と呼ばれる
ナイトメアが巣食ってしまったの","There's a single road that leads from Lynwood
to the depths of Mysree Grove.
A nightmare known as ""Maritia the Kidnapper""
has taken up residence along that road.",
"ナイトメアの中でも凶悪な個体で
生半可な腕では近付くことすらできないのよ
お願い、貴方に退治を頼めないかしら","It's the most vicious of the nightmares and
with my lacking skill, I can't even get close to it.
Please, can you help me get rid of it?",
"退治してくれるなら出発前に
私に話しかけてちょうだい
くわしく説明するわ","If you want to exterminate them, talk to me before you leave
and I'll explain more.",
"そうそう、貴方に伝えようと思っていたことがあるの
森の中にある遺跡《ミスリウ古墳墓》の封鎖を
解くことにしたのよ","That's right, I've been meaning to tell you.
I've decided to unseal those ruins in the forest,
the ""Mysree Ancient Burial Mound"".",
"以前から歴史研究のために解放を
望む声があったんだけど、万が一のことを考えると
封鎖しておかざるをえなかったのよね","There have been continued calls
to release it for historical research,
but not knowing what could occur, we had to keep it sealed off.",
"けど、今は貴方という頼もしい覚者さんが
ミスリウに寄ってくれることだし
この機会にと思ってね！","But now that a reliable Arisen such as yourself
will be stopping by Mysree,
I couldn't miss this opportunity!",
"うーん、覚者さん――
ちょっと相談してもいいかしら","Hmmm, Arisen--
Could I speak with you a moment?",
"実は、この前封鎖を解いた
《ミスリウ古墳墓》についてなんだけど
さっそく問題が起こっちゃって――","Actually, about the
Ancient Burial Mound that was unsealed recently,
a problem has occurred right away...",
"あの古墳墓に入った歴史家が
魔物に襲われたらしいんだけど
どんな魔物なのかすらわからないの","It seems that the historian who entered that ancient burial mound was attacked by
enemies, but
we don't even know what kind of enemies they are",
"このままじゃ謎を抱えたまま
あの古墳墓をもう一度
封鎖しないといけなくなるわ","If we leave it like this,
we will have to seal that ancient burial mound again
while still having this mystery",
"貴方の力で何とかならないかしら
調査を頼めるようなら、くわしく
説明するから、もう一度私に声をかけてね","I wonder if it's possible to solve this with your power?
If I can ask you to investigate,
I will explain in detail, so please talk to me again",
"いつもリンウッドを助けてくれてありがとう
この森の住人を代表してお礼を言うわ！","Thank you for always helping Lynnwood.
I thank you on behalf of all the residents of this forest!",
